0,1,2
Kalamata,Bruksela,2.556650344078329
Poznań,Hamburg,0.544471913187819
Bruksela,Barcelona,1.4374266556974071
Barcelona,Kiruna,4.011115643880226
Paryż,Bruksela,0.34146089361754467
Barcelona,Evenes,3.5037529381952495
Gdańsk,Ateny,2.1310717373412023
Londyn,Rzym,1.6673078912036152
Berlin,Lipsk,0.18798283710801425
Kalamata,Lipsk,2.1616179493531202
Lipsk,Kiruna,2.230023245319056
Warszawa,Poznań,0.3349236839930644
Lipsk,Rzym,1.1721274767685215
Kiruna,Evenes,0.18280037209728517
Sybin,Lublana,0.9260236408053865
Kolonia,Gdańsk,1.0008947973828755
Gdańsk,Kiruna,1.8811604226720302
Kraków,Lublana,0.7049657923930045
Berlin,Sybin,1.3192278401393966
Kalamata,Gdańsk,2.4527455716146207
Evenes,Poznań,2.375332934579373
Poznań,Kiruna,1.9873329358063478
Ateny,Ostrawa,1.6198430366542753
Londyn,Rzym,1.845182640522253
Evenes,Londyn,2.3660794684677064
Kalamata,Hamburg,2.6786204460116196
Sybin,Ateny,1.0722945424015238
Rzym,Barcelona,0.9739392621715002
Evenes,Barcelona,3.5233928089250437
Hamburg,Ostrawa,0.8942108118964794
Praga,Rzym,1.0948958094713364
Rzym,Londyn,1.8011945976490749
Warszawa,Barcelona,2.2531393683761736
Lipsk,Hamburg,0.3874862384853154
Sztokholm,Kolonia,1.4503308442306269
Barcelona,Ostrawa,1.8008893108596413
Lipsk,Oslo,1.2613722269240721
Sybin,Kalamata,1.1391212023399893
Praga,Lublana,0.5214571777615769
Oslo,Kalamata,3.1864642259817915
Helsinki,Evenes,1.3575998677771453
Evenes,Warszawa,2.392475790591656
Evenes,Ostrawa,2.4386628203180254
Lipsk,Evenes,2.148055602345783
Oslo,Kiruna,1.1150402407733968
Oslo,Helsinki,0.9290033356722065
Warszawa,Ostrawa,0.37725948785890473
Kolonia,Sztokholm,1.5442095910830715
Gdańsk,Londyn,1.5739498360932145
Bruksela,Hamburg,0.637991843941873
Kraków,Hamburg,0.9189427626627719
Poznań,Sybin,1.0731375245656793
Berlin,Oslo,0.9617623401155267
Kolonia,Kalamata,2.6237418996161623
Bruksela,Rzym,1.5108702997401426
Lipsk,Kiruna,2.4951515043398156
Sztokholm,Warszawa,1.0511141237321262
Lublana,Kolonia,0.9937505130811025
Oslo,Kraków,1.398750555547282
