0,1,2,3,4,5,6,7,8,9
LUB-GDA,HPI901,2020-03-03 00:36:55,2020-03-03 01:58:20,2020-03-03 01:14:20,2020-03-03 00:00:55,,76,zwykła,CID00085
BRU-GDA,KYE127,2020-03-23 16:10:00,2020-03-23 17:30:45,2020-03-23 17:24:45,2020-03-23 16:09:00,,41,biznesowa,CID00080
LON-GDA,CPM454,2020-02-09 08:24:54,2020-02-09 10:06:12,2020-02-09 07:46:12,2020-02-09 06:09:54,,175,ekonomiczna,CID00011
BRU-GDA,RIC709,2019-07-28 19:20:54,2019-07-28 20:41:39,2019-07-28 17:58:39,2019-07-28 16:42:54,,198,ekonomiczna,CID00034
GDA-BRU,VPC312,2019-04-12 00:10:02,2019-04-12 01:26:27,2019-04-12 01:19:27,2019-04-12 00:10:02,,20,ekonomiczna,CID00065
GDA-LON,CFN786,2018-03-10 13:13:36,2018-03-10 14:55:02,2018-03-10 14:28:02,2018-03-10 12:58:36,,55,zwykła,CID00038
LUB-GDA,BJF685,2019-03-14 22:26:47,2019-03-14 23:41:12,2019-03-14 19:42:12,2019-03-14 18:28:47,,278,biznesowa,CID00023
GDA-RZY,PKY311,2018-10-16 01:26:55,2018-10-16 03:21:46,2018-10-15 23:38:46,2018-10-15 21:54:55,,252,biznesowa,CID00091
GDA-BRU,RIC709,2018-02-28 20:49:30,2018-02-28 22:11:55,2018-02-28 21:58:55,2018-02-28 20:49:30,,30,biznesowa,CID00038
GDA-LON,VAU408,2019-03-27 02:55:20,2019-03-27 04:34:46,2019-03-27 04:24:46,2019-03-27 02:55:20,,31,biznesowa,CID00085
GDA-POZ,BBS684,2019-03-20 03:02:30,2019-03-20 03:27:12,2019-03-20 01:27:12,2019-03-20 01:09:30,,153,zwykła,CID00003
LON-GDA,OOH181,2018-04-11 20:47:16,2018-04-11 22:37:34,2018-04-11 18:50:34,2018-04-11 17:14:16,,253,zwykła,CID00037
GDA-LUB,AKG739,2018-10-26 20:33:53,2018-10-26 21:46:12,2018-10-26 19:16:12,2018-10-26 18:03:53,,190,ekonomiczna,CID00029
LUB-GDA,FFX619,2020-12-15 07:49:26,2020-12-15 09:07:51,2020-12-15 09:02:51,2020-12-15 07:49:26,,31,ekonomiczna,CID00024
RZY-GDA,LXU103,2020-02-19 22:47:38,2020-02-20 00:32:47,2020-02-19 23:16:47,2020-02-19 21:34:38,,113,ekonomiczna,CID00021
BRU-GDA,LXU103,2020-08-27 06:44:13,2020-08-27 08:12:58,2020-08-27 03:57:58,2020-08-27 02:42:13,LXU103-VJD545-JZV,282,ekonomiczna,CID00052
POZ-GDA,TOW837,2019-02-14 17:11:53,2019-02-14 17:35:15,2019-02-14 17:18:15,2019-02-14 16:58:53,,53,biznesowa,CID00009
LUB-GDA,QZO798,2019-10-08 11:19:03,2019-10-08 12:33:28,2019-10-08 12:32:28,2019-10-08 11:19:03,,27,biznesowa,CID00072
GDA-RZY,RIC709,2020-08-20 10:56:23,2020-08-20 12:46:14,2020-08-20 11:32:14,2020-08-20 09:48:23,,108,zwykła,CID00028
GDA-BRU,RWL118,2018-10-13 00:43:41,2018-10-13 01:59:06,2018-10-12 22:02:06,2018-10-12 20:52:41,,271,zwykła,CID00063
GDA-BRU,VPC312,2020-12-03 06:55:24,2020-12-03 08:15:49,2020-12-03 06:49:49,2020-12-03 05:40:24,,115,zwykła,CID00024
BRU-GDA,EUF281,2020-11-13 11:43:24,2020-11-13 13:13:09,2020-11-13 09:13:09,2020-11-13 07:57:24,,266,zwykła,CID00001
