0,1,2,3
GDA-LON,Gdańsk lotnisko,Londyn lotnisko,Gdańsk-Londyn
LON-GDA,Londyn lotnisko,Gdańsk lotnisko,Londyn-Gdańsk
GDA-BRU,Gdańsk lotnisko,Bruksela lotnisko,Gdańsk-Bruksela
BRU-GDA,Bruksela lotnisko,Gdańsk lotnisko,Bruksela-Gdańsk
GDA-LUB,Gdańsk lotnisko,Lublana lotnisko,Gdańsk-Lublana
LUB-GDA,Lublana lotnisko,Gdańsk lotnisko,Lublana-Gdańsk
GDA-POZ,Gdańsk lotnisko,Poznań lotnisko,Gdańsk-Poznań
POZ-GDA,Poznań lotnisko,Gdańsk lotnisko,Poznań-Gdańsk
GDA-RZY,Gdańsk lotnisko,Rzym lotnisko,Gdańsk-Rzym
RZY-GDA,Rzym lotnisko,Gdańsk lotnisko,Rzym-Gdańsk
GDA-LIP,Gdańsk lotnisko,Lipsk lotnisko,Gdańsk-Lipsk
LIP-GDA,Lipsk lotnisko,Gdańsk lotnisko,Lipsk-Gdańsk
GDA-BER,Gdańsk lotnisko,Berlin lotnisko,Gdańsk-Berlin
BER-GDA,Berlin lotnisko,Gdańsk lotnisko,Berlin-Gdańsk
GDA-LUB,Gdańsk lotnisko,Lublana lotnisko,Gdańsk-Lublana
LUB-GDA,Lublana lotnisko,Gdańsk lotnisko,Lublana-Gdańsk
GDA-WAR,Gdańsk lotnisko,Warszawa lotnisko,Gdańsk-Warszawa
WAR-GDA,Warszawa lotnisko,Gdańsk lotnisko,Warszawa-Gdańsk
GDA-BAR,Gdańsk lotnisko,Barcelona lotnisko,Gdańsk-Barcelona
BAR-GDA,Barcelona lotnisko,Gdańsk lotnisko,Barcelona-Gdańsk
GDA-PRA,Gdańsk lotnisko,Praga lotnisko,Gdańsk-Praga
PRA-GDA,Praga lotnisko,Gdańsk lotnisko,Praga-Gdańsk
GDA-RZY,Gdańsk lotnisko,Rzym lotnisko,Gdańsk-Rzym
RZY-GDA,Rzym lotnisko,Gdańsk lotnisko,Rzym-Gdańsk
GDA-KRA,Gdańsk lotnisko,Kraków lotnisko,Gdańsk-Kraków
KRA-GDA,Kraków lotnisko,Gdańsk lotnisko,Kraków-Gdańsk
GDA-WRO,Gdańsk lotnisko,Wrocław lotnisko,Gdańsk-Wrocław
WRO-GDA,Wrocław lotnisko,Gdańsk lotnisko,Wrocław-Gdańsk
GDA-BRU,Gdańsk lotnisko,Bruksela lotnisko,Gdańsk-Bruksela
BRU-GDA,Bruksela lotnisko,Gdańsk lotnisko,Bruksela-Gdańsk
